Survey,FIPS,FIPS,Region,Division,County,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,, 5+units rep
Date,State,County,Code,Code,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value
 
202509,01,001,3,6,Autauga County                                              ,9,9,4496506,0,0,0,0,0,0,0,0,0,9,9,4496506,0,0,0,0,0,0,0,0,0
202509,01,003,3,6,Baldwin County                                              ,255,255,89311679,0,0,0,0,0,0,1,19,2295811,155,155,62676798,0,0,0,0,0,0,0,0,0
202509,01,005,3,6,Barbour County                                              ,1,1,303300,0,0,0,0,0,0,0,0,0,1,1,303300,0,0,0,0,0,0,0,0,0
202509,01,007,3,6,Bibb County                                                 ,1,1,235000,0,0,0,0,0,0,0,0,0,1,1,235000,0,0,0,0,0,0,0,0,0
202509,01,009,3,6,Blount County                                               ,4,4,406333,0,0,0,0,0,0,0,0,0,2,2,200000,0,0,0,0,0,0,0,0,0
202509,01,011,3,6,Bullock County                                              ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202509,01,013,3,6,Butler County                                               ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202509,01,015,3,6,Calhoun County                                              ,13,13,1635809,2,4,500000,0,0,0,0,0,0,11,11,1154940,2,4,500000,0,0,0,0,0,0
202509,01,017,3,6,Chambers County                                             ,4,4,724716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202509,01,019,3,6,Cherokee County                                             ,3,3,887300,0,0,0,0,0,0,0,0,0,2,2,675000,0,0,0,0,0,0,0,0,0
202509,01,021,3,6,Chilton County                                              ,24,24,5801615,0,0,0,0,0,0,0,0,0,24,24,5801615,0,0,0,0,0,0,0,0,0
202509,01,023,3,6,Choctaw County                                              ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202509,01,025,3,6,Clarke County                                               ,1,1,170333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202509,01,027,3,6,Clay County                                                 ,1,1,150477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202509,01,029,3,6,Cleburne County                                             ,1,1,252140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202509,01,031,3,6,Coffee County                                               ,11,11,3240000,0,0,0,0,0,0,0,0,0,11,11,3240000,0,0,0,0,0,0,0,0,0
202509,01,033,3,6,Colbert County                                              ,5,5,947696,0,0,0,0,0,0,0,0,0,3,3,673164,0,0,0,0,0,0,0,0,0
202509,01,035,3,6,Conecuh County                                              ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202509,01,037,3,6,Coosa County                                                ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202509,01,039,3,6,Covington County                                            ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202509,01,041,3,6,Crenshaw County                                             ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202509,01,043,3,6,Cullman County                                              ,16,16,2947124,0,0,0,0,0,0,0,0,0,15,15,2788472,0,0,0,0,0,0,0,0,0
202509,01,045,3,6,Dale County                                                 ,2,2,170000,0,0,0,0,0,0,0,0,0,2,2,170000,0,0,0,0,0,0,0,0,0
